# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.743061359448e-02       1.568477282941e+03 
       8.029481089186e-02       1.486302592538e+03 
       8.327090758802e-02       1.400210358175e+03 
       8.632586216219e-02       1.313531206914e+03 
       8.943371231427e-02       1.229616776481e+03 
       9.257581503174e-02       1.151363268401e+03 
       9.573957740130e-02       1.080883934027e+03 
       9.891682772534e-02       1.019417903250e+03 
       1.021023973755e-01       9.673345268720e+02 
       1.052930691554e-01       9.242452473549e+02 
       1.084868602137e-01       8.891669280091e+02 
       1.116825557654e-01       8.606875651123e+02 
       1.148794142178e-01       8.371287922873e+02 
       1.180769837523e-01       8.167147442161e+02 
       1.212749893616e-01       7.977306804559e+02 
       1.244732636930e-01       7.786649367539e+02 
       1.276717048613e-01       7.583442835612e+02 
       1.308702507698e-01       7.360063835313e+02 
       1.340688634988e-01       7.113412640474e+02 
       1.372675198226e-01       6.845012660940e+02 
       1.404662054497e-01       6.559791690324e+02 
       1.436649115263e-01       6.265206644237e+02 
       1.468636325124e-01       5.970116475562e+02 
       1.500623648926e-01       5.683474725916e+02 
       1.532611063917e-01       5.413159902735e+02 
       1.564598554981e-01       5.165542491310e+02 
       1.596586111737e-01       4.944659105787e+02 
       1.628573726770e-01       4.752330233905e+02 
       1.660561394544e-01       4.588138182140e+02 
       1.692549110741e-01       4.449923612214e+02 
       1.724536871851e-01       4.333824919466e+02 
       1.756524674918e-01       4.235015878470e+02 
       1.788512517378e-01       4.148267105892e+02 
       1.820500396958e-01       4.068334145610e+02 
       1.852488311610e-01       3.990998908458e+02 
       1.884476259469e-01       3.911081741539e+02 
       1.916464238816e-01       3.825420063424e+02 
       1.948452248065e-01       3.732168145540e+02 
       1.980440285741e-01       3.630906858324e+02 
       2.012428350467e-01       3.522665769034e+02 
       2.044416440959e-01       3.409474231410e+02 
       2.076404556014e-01       3.294054253039e+02 
       2.108392694504e-01       3.179252441197e+02 
       2.140380855368e-01       3.067836639187e+02 
       2.172369037610e-01       2.962054706127e+02 
       2.204357240293e-01       2.863662811855e+02 
       2.236345462532e-01       2.773781042493e+02 
       2.268333703495e-01       2.692913130155e+02 
       2.300321962395e-01       2.621097885438e+02 
       2.332310238489e-01       2.557621838879e+02 
       2.364298531074e-01       2.501544225238e+02 
       2.396286839485e-01       2.451397007743e+02 
       2.428275163094e-01       2.405469274643e+02 
       2.460263501302e-01       2.362031549998e+02 
       2.492251853545e-01       2.319540646121e+02 
       2.524240219285e-01       2.276619259111e+02 
       2.556228598014e-01       2.232364176193e+02 
       2.588216989245e-01       2.186223592878e+02 
       2.620205392519e-01       2.138155174292e+02 
       2.652193807397e-01       2.088223401877e+02 
       2.684182233461e-01       2.036908629138e+02 
       2.716170670316e-01       1.984854648180e+02 
       2.748159117580e-01       1.932938581981e+02 
       2.780147574893e-01       1.881992952954e+02 
       2.812136041910e-01       1.832870263340e+02 
       2.844124518303e-01       1.786263997866e+02 
       2.876113003755e-01       1.742651266184e+02 
       2.908101497967e-01       1.702250222602e+02 
       2.940090000651e-01       1.665079290874e+02 
       2.972078511533e-01       1.630875441777e+02 
       3.004067030348e-01       1.599291558240e+02 
       3.036055556845e-01       1.569879318531e+02 
       3.068044090783e-01       1.542152299353e+02 
       3.100032631929e-01       1.515614595251e+02 
       3.132021180062e-01       1.489789951315e+02 
       3.164009734969e-01       1.464253014084e+02 
       3.195998296445e-01       1.438638980481e+02 
       3.227986864295e-01       1.412717168053e+02 
       3.259975438329e-01       1.386376845051e+02 
       3.291964018366e-01       1.359649105132e+02 
       3.323952604233e-01       1.332664418328e+02 
       3.355941195762e-01       1.305663594931e+02 
       3.387929792791e-01       1.278881960511e+02 
       3.419918395166e-01       1.252552564023e+02 
       3.451907002738e-01       1.226922167097e+02 
       3.483895615362e-01       1.202158279251e+02 
       3.515884232900e-01       1.178402977718e+02 
       3.547872855218e-01       1.155767403673e+02 
       3.579861482188e-01       1.134301469828e+02 
       3.611850113686e-01       1.113985505757e+02 
       3.643838749592e-01       1.094746601804e+02 
       3.675827389790e-01       1.076443826884e+02 
       3.707816034168e-01       1.058906889774e+02 
       3.739804682620e-01       1.041955777030e+02 
