# Matter power spectrum P(k) at redshift z=3.2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.460263501302e-01       1.228113145541e+02 
       2.492251853545e-01       1.206017698435e+02 
       2.524240219285e-01       1.183702469166e+02 
       2.556228598014e-01       1.160692739585e+02 
       2.588216989245e-01       1.136725522696e+02 
       2.620205392519e-01       1.111715519066e+02 
       2.652193807397e-01       1.085751544050e+02 
       2.684182233461e-01       1.059066893194e+02 
       2.716170670316e-01       1.032001543253e+02 
       2.748159117580e-01       1.005009996291e+02 
       2.780147574893e-01       9.785207961036e+01 
       2.812136041910e-01       9.529799961819e+01 
       2.844124518303e-01       9.287467566973e+01 
       2.876113003755e-01       9.060728641556e+01 
       2.908101497967e-01       8.850663892618e+01 
       2.940090000651e-01       8.657383209398e+01 
       2.972078511533e-01       8.479544210272e+01 
       3.004067030348e-01       8.315327153054e+01 
       3.036055556845e-01       8.162403079634e+01 
       3.068044090783e-01       8.018240590069e+01 
       3.100032631929e-01       7.880261158801e+01 
       3.132021180062e-01       7.745986384943e+01 
       3.164009734969e-01       7.613209590282e+01 
       3.195998296445e-01       7.480032007740e+01 
       3.227986864295e-01       7.345254812144e+01 
       3.259975438329e-01       7.208301321071e+01 
       3.291964018366e-01       7.069330577315e+01 
       3.323952604233e-01       6.929060272786e+01 
       3.355941195762e-01       6.788652514024e+01 
       3.387929792791e-01       6.649394115468e+01 
       3.419918395166e-01       6.512517622279e+01 
       3.451907002738e-01       6.379242194713e+01 
       3.483895615362e-01       6.250476837004e+01 
       3.515884232900e-01       6.126966645121e+01 
       3.547872855218e-01       6.009275926350e+01 
       3.579861482188e-01       5.897666140131e+01 
       3.611850113686e-01       5.792041405293e+01 
       3.643838749592e-01       5.692004481554e+01 
       3.675827389790e-01       5.596847865143e+01 
       3.707816034168e-01       5.505673218967e+01 
       3.739804682620e-01       5.417531493281e+01 
       3.771793335040e-01       5.331540457541e+01 
       3.803781991329e-01       5.246996356229e+01 
       3.835770651390e-01       5.163392583930e+01 
       3.867759315127e-01       5.080403979970e+01 
       3.899747982451e-01       4.997839090139e+01 
       3.931736653273e-01       4.915628859031e+01 
       3.963725327509e-01       4.833814076415e+01 
       3.995714005075e-01       4.752551846689e+01 
       4.027702685894e-01       4.672128816842e+01 
       4.059691369886e-01       4.592883650002e+01 
       4.091680056978e-01       4.515241393701e+01 
       4.123668747098e-01       4.439552008632e+01 
       4.155657440174e-01       4.366063271510e+01 
       4.187646136139e-01       4.294896839318e+01 
       4.219634834927e-01       4.226080074285e+01 
       4.251623536474e-01       4.159553026759e+01 
       4.283612240718e-01       4.095209673098e+01 
       4.315600947599e-01       4.032941995317e+01 
       4.347589657059e-01       3.972614799510e+01 
       4.379578369040e-01       3.914049927390e+01 
       4.411567083487e-01       3.857047622937e+01 
       4.443555800348e-01       3.801341603784e+01 
       4.475544519570e-01       3.746676068445e+01 
       4.507533241103e-01       3.692832748374e+01 
       4.539521964898e-01       3.639661271667e+01 
       4.571510690906e-01       3.587079656481e+01 
       4.603499419083e-01       3.535090320610e+01 
       4.635488149382e-01       3.483728573730e+01 
       4.667476881761e-01       3.433055345603e+01 
       4.699465616175e-01       3.383118722126e+01 
       4.731454352585e-01       3.333969236361e+01 
       4.763443090949e-01       3.285670111942e+01 
       4.795431831229e-01       3.238307474691e+01 
       4.827420573385e-01       3.191982042886e+01 
       4.859409317382e-01       3.146785696242e+01 
       4.891398063183e-01       3.102775991236e+01 
       4.923386810752e-01       3.059956956543e+01 
       4.955375560055e-01       3.018272778505e+01 
       4.987364311058e-01       2.977628679479e+01 
       5.019353063730e-01       2.937914905224e+01 
       5.051341818038e-01       2.899034554360e+01 
       5.083330573951e-01       2.860915150435e+01 
       5.115319331440e-01       2.823491319788e+01 
       5.147308090474e-01       2.786720851412e+01 
       5.179296851024e-01       2.750540961801e+01 
       5.211285613064e-01       2.714893327517e+01 
       5.243274376565e-01       2.679729845867e+01 
       5.275263141501e-01       2.645021085693e+01 
       5.307251907846e-01       2.610773151798e+01 
       5.339240675574e-01       2.577022052459e+01 
       5.371229444661e-01       2.543814996474e+01 
       5.403218215082e-01       2.511198624037e+01 
       5.435206986814e-01       2.479185231145e+01 
       5.467195759834e-01       2.447793696374e+01 
       5.499184534119e-01       2.416998182048e+01 
       5.531173309647e-01       2.386775096528e+01 
       5.563162086397e-01       2.357118018720e+01 
       5.595150864348e-01       2.328046729322e+01 
       5.627139643478e-01       2.299539739156e+01 
       5.659128423769e-01       2.271599922945e+01 
       5.691117205200e-01       2.244201956840e+01 
       5.723105987752e-01       2.217306481783e+01 
       5.755094771407e-01       2.190867412741e+01 
       5.787083556146e-01       2.164845341963e+01 
       5.819072341951e-01       2.139214189659e+01 
       5.851061128805e-01       2.113972657403e+01 
       5.883049916691e-01       2.089121321329e+01 
       5.915038705591e-01       2.064660993272e+01 
       5.947027495490e-01       2.040581125404e+01 
       5.979016286371e-01       2.016865009487e+01 
       6.011005078219e-01       1.993493713030e+01 
       6.042993871017e-01       1.970455293426e+01 
       6.074982664752e-01       1.947753328604e+01 
       6.106971459408e-01       1.925400482088e+01 
       6.138960254972e-01       1.903420433756e+01 
       6.170949051427e-01       1.881819703245e+01 
       6.202937848762e-01       1.860598926326e+01 
       6.234926646963e-01       1.839740872160e+01 
       6.266915446015e-01       1.819220402725e+01 
       6.298904245906e-01       1.799026062868e+01 
       6.330893046624e-01       1.779146476256e+01 
       6.362881848155e-01       1.759579363138e+01 
       6.394870650489e-01       1.740329850505e+01 
       6.426859453611e-01       1.721393833704e+01 
       6.458848257512e-01       1.702758928620e+01 
       6.490837062179e-01       1.684404242810e+01 
       6.522825867600e-01       1.666309590065e+01 
       6.554814673766e-01       1.648458315490e+01 
       6.586803480665e-01       1.630849092204e+01 
       6.618792288286e-01       1.613486588331e+01 
       6.650781096619e-01       1.596379637316e+01 
       6.682769905654e-01       1.579533249793e+01 
       6.714758715380e-01       1.562942175686e+01 
       6.746747525789e-01       1.546593652555e+01 
       6.778736336869e-01       1.530480700201e+01 
       6.810725148612e-01       1.514583319321e+01 
       6.842713961008e-01       1.498907486190e+01 
       6.874702774049e-01       1.483460147566e+01 
       6.906691587724e-01       1.468246392802e+01 
       6.938680402026e-01       1.453269578495e+01 
       6.970669216946e-01       1.438522351584e+01 
       7.002658032475e-01       1.423990948857e+01 
       7.034646848605e-01       1.409661256677e+01 
       7.066635665328e-01       1.395522468140e+01 
       7.098624482635e-01       1.381572153728e+01 
       7.130613300519e-01       1.367814506490e+01 
       7.162602118973e-01       1.354252596810e+01 
       7.194590937987e-01       1.340887654753e+01 
