# Matter power spectrum P(k) at redshift z=2.4
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.980440285741e-01       2.852823471606e+02 
       2.012428350467e-01       2.767758312063e+02 
       2.044416440959e-01       2.678828952030e+02 
       2.076404556014e-01       2.588141159437e+02 
       2.108392694504e-01       2.497934712175e+02 
       2.140380855368e-01       2.410399136464e+02 
       2.172369037610e-01       2.327285063450e+02 
       2.204357240293e-01       2.249975604056e+02 
       2.236345462532e-01       2.179355515530e+02 
       2.268333703495e-01       2.115819888436e+02 
       2.300321962395e-01       2.059392375062e+02 
       2.332310238489e-01       2.009519486476e+02 
       2.364298531074e-01       1.965459296639e+02 
       2.396286839485e-01       1.926059538727e+02 
       2.428275163094e-01       1.889974464712e+02 
       2.460263501302e-01       1.855847281112e+02 
       2.492251853545e-01       1.822459286466e+02 
       2.524240219285e-01       1.788736998360e+02 
       2.556228598014e-01       1.753966220628e+02 
       2.588216989245e-01       1.717729049368e+02 
       2.620205392519e-01       1.679951969607e+02 
       2.652193807397e-01       1.640719218073e+02 
       2.684182233461e-01       1.600395924589e+02 
       2.716170670316e-01       1.559497003297e+02 
       2.748159117580e-01       1.518707720041e+02 
       2.780147574893e-01       1.478679499485e+02 
       2.812136041910e-01       1.440083824533e+02 
       2.844124518303e-01       1.403464732292e+02 
       2.876113003755e-01       1.369200808927e+02 
       2.908101497967e-01       1.337457344418e+02 
       2.940090000651e-01       1.308250088539e+02 
       2.972078511533e-01       1.281376172995e+02 
       3.004067030348e-01       1.256560742229e+02 
       3.036055556845e-01       1.233451824450e+02 
       3.068044090783e-01       1.211666890747e+02 
       3.100032631929e-01       1.190816194133e+02 
       3.132021180062e-01       1.170525609053e+02 
       3.164009734969e-01       1.150461216179e+02 
       3.195998296445e-01       1.130336251255e+02 
       3.227986864295e-01       1.109969553985e+02 
       3.259975438329e-01       1.089273988210e+02 
       3.291964018366e-01       1.068273887812e+02 
       3.323952604233e-01       1.047075505422e+02 
       3.355941195762e-01       1.025858564046e+02 
       3.387929792791e-01       1.004815418420e+02 
       3.419918395166e-01       9.841276301172e+01 
       3.451907002738e-01       9.639912197997e+01 
       3.483895615362e-01       9.445337233708e+01 
       3.515884232900e-01       9.258693231439e+01 
       3.547872855218e-01       9.080845516558e+01 
       3.579861482188e-01       8.912187858582e+01 
       3.611850113686e-01       8.752571002323e+01 
       3.643838749592e-01       8.601405752907e+01 
       3.675827389790e-01       8.457606279878e+01 
       3.707816034168e-01       8.319830450475e+01 
       3.739804682620e-01       8.186636934013e+01 
       3.771793335040e-01       8.056687910322e+01 
       3.803781991329e-01       7.928936685135e+01 
       3.835770651390e-01       7.802595261622e+01 
       3.867759315127e-01       7.677188339599e+01 
       3.899747982451e-01       7.552421833359e+01 
       3.931736653273e-01       7.428194764656e+01 
       3.963725327509e-01       7.304561294576e+01 
       3.995714005075e-01       7.181758389594e+01 
       4.027702685894e-01       7.060229318942e+01 
       4.059691369886e-01       6.940454960273e+01 
       4.091680056978e-01       6.823128109976e+01 
       4.123668747098e-01       6.708773652418e+01 
       4.155657440174e-01       6.597727106190e+01 
       4.187646136139e-01       6.490180792855e+01 
       4.219634834927e-01       6.386186491244e+01 
       4.251623536474e-01       6.285655112432e+01 
       4.283612240718e-01       6.188423520470e+01 
       4.315600947599e-01       6.094328411018e+01 
       4.347589657059e-01       6.003168689541e+01 
       4.379578369040e-01       5.914667584769e+01 
       4.411567083487e-01       5.828531769953e+01 
       4.443555800348e-01       5.744349861826e+01 
       4.475544519570e-01       5.661723107383e+01 
       4.507533241103e-01       5.580358718763e+01 
